Sala;m2;iloœæ miejsc w pokoju;iloœæ osób pracuj¹cych w pokoju;wolne biurka w pokoju;wolne biurka do wykorzystania prze FP;;
Budynek F1;;;;;;;
F1 001;33,1;8;8;0;0;;
F1 002;25,2;6;2;4;6;;
F1 003;26,9;6;2;4;6;;
F1 004;25,2;5;5;0;0;;
F1 005 ;33,1;6;6;0;0;; 
Piêtro.;;;;;;;
F1 101 ;33,1;9;9;;;;
F1 102;25,2;6;6;0;0;;
F1 103;26,9;6;6;0;0;;
F1 104;25,2;6;6;0;0;;
F1 105;33,1;5;5;0;0;;
F1 106;23,9;2;2;0;0;;
F1 108 ;11,5;;;;;;
F1 110 ;16,5;4;5;0;0;;
F1 111 ;33,1;4;3;0;0;;
Budynek F1;;73;65;8;12;;
;;;;;;;
;;;;;;;
Budynek F2;;;;;;;
Piêtro.;;;;;;;
F2 102;60,3;18;18;0;0;;
F2 104 - 105;61,2;16;10;6;6;;
F2 106 - 107;61,2;15;14;1;0;;
F2 110 - 111;91,8;24;13;11;12;;
Budynek F2;;73;55;18;18;;
;;;;;;;
;;;;;;;
Budynek F3;;;;;;;
F3 sportowy;0,0;1;0;0;0;;
F3 001;118,8;36;36;0;0;;
F3 002;105,3;30;23;7;7;;
Piêto;;;;;;;
F3 101;118,8;35;20;15;10;;
Piêtro II;;;;;;;
F3 201;118,8;35;29;6;0;;
F3 204 ;26,4;9;9;0;0;;
F3 012;139,99;39;0;39;0;;
Budynek F3;;184;117;67;17;;
;;;;;;;
;;;;;;;
Budynek F4;;;;;;;
F4 Recepcja;2;2;0;0;0;;
F4 004;22,15;5;5;0;0;;
F4 005;46,4;12;12;0;0;;
F4 007;17,58;4;4;0;0;;
F4 009;29,18;9;4;5;5;;
F4 010;47,58;10;6;4;0;;
F4 012;38,12;11;10;0;0;;
F4 014;53,11;15;12;3;3;;
;;;;;;;
F4 101;60,27;18;14;4;0;;
F4 102;46,87;;;;0;;
F4 104;70,1;25;26;0;0;;
F4 105;47,87;;;;0;;
F4 112;61,45;17;17;0;0;;
F4 113;57,15;18;18;0;0;;
F4 114;38,12;9;7;2;2;;
F4 126;47,75;12;;;;;
F4 127;43,34;12;;;;;
F4 128;45,87;12;;;;;
F4 129;40,78;12;;;;;
F4 133;46,83;12;;;;;
F4 136;94,36;12;;;;;
;;;;;;;
F4 201;60,3;15;14;0;0;;
F4 203;45,8;13;10;3;3;;
F4 204;43,47;14;14;0;0;;
F4 208;60,95;20;12;8;6;;
F4 209;43,47;13;10;3;0;;
F4 211;47,15;14;12;2;0;;
F4 214;76,79;20;19;1;0;;
F4 215;53,07;13;8;5;5;;
Budynek F4;;275;234;40;24;;
;;;;;;;
;;;;;;;
F4C 016;79,03;21;15;6;6;;
F4C 017;56,1;13;11;2;0;;
F4C 018;55,8;13;9;4;4;;
F4C 020;40,33;11;10;1;0;;
F4C 022;38;10;8;2;2;;
F4C 023;56,67;17;17;0;0;;
;;;;;;;
F4C 116;85,32;21;17;4;4;;
F4C 117;78,11;24;24;0;0;;
F4C 118;48,1;12;3;9;9;;
F4C 121;24,57;6;6;0;0;;
F4C 123;73,08;21;18;3;0;;
;;;;;;;
F4C 217;55,76;16;16;0;0;;
F4C 218;51,05;16;13;3;0;;
F4C 220;51,1;13;13;0;0;;
F4C 221;45,36;12;8;4;4;;
F4C 222;33,07;10;5;5;5;;
F4C 223 ;51,57;12;12;0;0;;
F4C 225;96,39;30;28;2;0;;
Budynek F4 C;;278;233;45;34;;
;;;;;;;
;;;;;;;
Budynki FP;;883;704;178;105;;